"""Porto Velho""";"""alto"""
"""Vilhena""";"""alto"""
"""Cacoal""";"""alto"""
"""Ji-Paraná""";"""alto"""
"""Pimenta Bueno""";"""alto"""
"""Ariquemes""";"""alto"""
"""Rolim de Moura""";"""alto"""
"""Cerejeiras""";"""médio"""
"""Jaru""";"""médio"""
"""Colorado do Oeste""";"""médio"""
"""Ouro Preto do Oeste""";"""médio"""
"""Espigão d'Oeste""";"""médio"""
"""Santa Luzia d'Oeste""";"""médio"""
"""Pimenteiras do Oeste""";"""médio"""
"""Presidente Médici""";"""médio"""
"""Castanheiras""";"""médio"""
"""Guajará-Mirim""";"""médio"""
"""Chupinguaia""";"""médio"""
"""Cabixi""";"""médio"""
"""Candeias do Jamari""";"""médio"""
"""São Felipe d'Oeste""";"""médio"""
"""Cacaulândia""";"""médio"""
"""São Miguel do Guaporé""";"""médio"""
"""Mirante da Serra""";"""médio"""
"""Alvorada d'Oeste""";"""médio"""
"""Teixeirópolis""";"""médio"""
"""Nova Brasilândia d'Oeste""";"""médio"""
"""Rio Crespo""";"""médio"""
"""Primavera de Rondônia""";"""médio"""
"""Alta Floresta d'Oeste""";"""médio"""
"""Ministro Andreazza""";"""médio"""
"""Novo Horizonte do Oeste""";"""médio"""
"""Vale do Paraíso""";"""médio"""
"""Alto Paraíso""";"""médio"""
"""Parecis""";"""médio"""
"""Buritis""";"""médio"""
"""Itapuã do Oeste""";"""médio"""
"""Corumbiara""";"""médio"""
"""Cujubim""";"""médio"""
"""Costa Marques""";"""médio"""
"""São Francisco do Guaporé""";"""médio"""
"""Urupá""";"""médio"""
"""Monte Negro""";"""médio"""
"""Seringueiras""";"""baixo"""
"""Governador Jorge Teixeira""";"""baixo"""
"""Machadinho d'Oeste""";"""baixo"""
"""Campo Novo de Rondônia""";"""baixo"""
"""Alto Alegre dos Parecis""";"""baixo"""
"""Theobroma""";"""baixo"""
"""Nova União""";"""baixo"""
"""Nova Mamoré""";"""baixo"""
"""Vale do Anari""";"""baixo"""
