"""Ariquemes""";0.7746
"""Vilhena""";0.7465
"""Pimenta Bueno""";0.7383
"""Porto Velho""";0.7257
"""Ji-Paraná""";0.7117
"""Cacoal""";0.7111
"""Santa Luzia d'Oeste""";0.6850
"""Rolim de Moura""";0.6785
"""Chupinguaia""";0.6766
"""São Miguel do Guaporé""";0.6699
"""Pimenteiras do Oeste""";0.6501
"""Teixeirópolis""";0.6500
"""Colorado do Oeste""";0.6473
"""Jaru""";0.6450
"""Rio Crespo""";0.6430
"""Primavera de Rondônia""";0.6384
"""Alta Floresta d'Oeste""";0.6337
"""Ouro Preto do Oeste""";0.6261
"""São Francisco do Guaporé""";0.6214
"""Candeias do Jamari""";0.6199
"""Buritis""";0.6199
"""São Felipe d'Oeste""";0.6153
"""Presidente Médici""";0.6140
"""Cerejeiras""";0.6137
"""Monte Negro""";0.6016
"""Urupá""";0.6006
"""Espigão d'Oeste""";0.5973
"""Seringueiras""";0.5922
"""Alvorada d'Oeste""";0.5919
"""Itapuã do Oeste""";0.5903
"""Cabixi""";0.5887
"""Novo Horizonte do Oeste""";0.5858
"""Nova Brasilândia d'Oeste""";0.5857
"""Vale do Paraíso""";0.5818
"""Corumbiara""";0.5759
"""Alto Paraíso""";0.5735
"""Cacaulândia""";0.5721
"""Vale do Anari""";0.5710
"""Ministro Andreazza""";0.5657
"""Costa Marques""";0.5626
"""Nova União""";0.5571
"""Guajará-Mirim""";0.5541
"""Mirante da Serra""";0.5519
"""Parecis""";0.5502
"""Castanheiras""";0.5430
"""Theobroma""";0.5405
"""Machadinho d'Oeste""";0.5322
"""Campo Novo de Rondônia""";0.5272
"""Nova Mamoré""";0.5084
"""Cujubim""";0.5055
"""Alto Alegre dos Parecis""";0.5046
"""Governador Jorge Teixeira""";0.4562
