"""Ariquemes""";"""moderado"""
"""Vilhena""";"""moderado"""
"""Pimenta Bueno""";"""moderado"""
"""Porto Velho""";"""moderado"""
"""Ji-Paraná""";"""moderado"""
"""Cacoal""";"""moderado"""
"""Santa Luzia d'Oeste""";"""moderado"""
"""Rolim de Moura""";"""moderado"""
"""Chupinguaia""";"""moderado"""
"""São Miguel do Guaporé""";"""moderado"""
"""Pimenteiras do Oeste""";"""moderado"""
"""Teixeirópolis""";"""moderado"""
"""Colorado do Oeste""";"""moderado"""
"""Jaru""";"""moderado"""
"""Rio Crespo""";"""moderado"""
"""Primavera de Rondônia""";"""moderado"""
"""Alta Floresta d'Oeste""";"""moderado"""
"""Ouro Preto do Oeste""";"""moderado"""
"""São Francisco do Guaporé""";"""moderado"""
"""Candeias do Jamari""";"""moderado"""
"""Buritis""";"""moderado"""
"""São Felipe d'Oeste""";"""moderado"""
"""Presidente Médici""";"""moderado"""
"""Cerejeiras""";"""moderado"""
"""Monte Negro""";"""moderado"""
"""Urupá""";"""moderado"""
"""Espigão d'Oeste""";"""regular"""
"""Seringueiras""";"""regular"""
"""Alvorada d'Oeste""";"""regular"""
"""Itapuã do Oeste""";"""regular"""
"""Cabixi""";"""regular"""
"""Novo Horizonte do Oeste""";"""regular"""
"""Nova Brasilândia d'Oeste""";"""regular"""
"""Vale do Paraíso""";"""regular"""
"""Corumbiara""";"""regular"""
"""Alto Paraíso""";"""regular"""
"""Cacaulândia""";"""regular"""
"""Vale do Anari""";"""regular"""
"""Ministro Andreazza""";"""regular"""
"""Costa Marques""";"""regular"""
"""Nova União""";"""regular"""
"""Guajará-Mirim""";"""regular"""
"""Mirante da Serra""";"""regular"""
"""Parecis""";"""regular"""
"""Castanheiras""";"""regular"""
"""Theobroma""";"""regular"""
"""Machadinho d'Oeste""";"""regular"""
"""Campo Novo de Rondônia""";"""regular"""
"""Nova Mamoré""";"""regular"""
"""Cujubim""";"""regular"""
"""Alto Alegre dos Parecis""";"""regular"""
"""Governador Jorge Teixeira""";"""regular"""
