cidade;PIB
 Porto Velho;17912070
 Ji-Paraná;3783972
 Vilhena;2831175
 Ariquemes;2579830
 Cacoal;2261644
 Jaru;1500890
 Rolim de Moura;1283434
 Pimenta Bueno;1164877
 Guajará-Mirim;893000
 Ouro Preto do Oeste;834000
 Buritis;726000
 Machadinho do Oeste;633000
 Espigão d'Oeste;625000
 São Miguel do Guaporé;616000
 Candeias do Jamari;548000
 Nova Mamoré;529000
 Cerejeiras;507000
 Alta Floresta do Oeste;496000
 Presidente Médici;428000
 Cujubim;385000
 Nova Brasilândia do Oeste;360000
 Alto Paraíso;358000
 São Francisco do Guaporé;353000
 Colorado do Oeste;335000
 Monte Negro;219152
 Alto Alegre dos Parecis;213410
 Campo Novo de Rondônia;208821
 Alvorada do Oeste;204098
 Chupinguaia;190331
 Corumbiara;188218
 Ministro Andreazza;174633
 Urupá;172143
 Costa Marques;171878
 Seringueiras;169429
 Mirante da Serra;163955
 Governador Jorge Teixeira;148027
 Theobroma;140601
 Santa Luzia do Oeste;135934
 Novo Horizonte do Oeste;129399
 Itapuã do Oeste;129351
 Vale do Paraíso;116742
 Cacaulândia;116635
 Cabixi;113031
 Vale do Anari;105208
 Nova União;92346
 Parecis;80759
 Rio Crespo;76854
 Pimenteiras do Oeste;76756
 Teixeirópolis;72089
 São Felipe do Oeste;72084
 Castanheiras;59779
 Primavera de Rondônia;52908
